customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetCharges,MonthlyCharges,TotalCharges,Churn,NumberServices,AverageMonthly,TenureSegment,ChargePerService
customer_1,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,43.53,2220.03,No,0,43.53,client_confirme,43.53
customer_2,Male,1,Yes,Yes,14,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Two year,46.0,109.39,1531.46,No,2,109.39,client_adepte,36.46333333333333
customer_3,Female,0,Yes,No,71,No,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,34.36,99.36,7054.56,No,4,99.36,client_confirme,19.872
customer_4,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,65.56,115.12,6907.2,No,1,115.11999999999999,client_confirme,57.56
customer_5,Male,0,Yes,No,20,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,400.0,Yes,0,20.0,client_adepte,20.0
customer_6,Female,0,No,Yes,23,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,33.27,765.21,No,0,33.27,client_adepte,33.27
customer_7,Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,One year,77.01,129.92,259.84,No,2,129.92,client_novice,43.306666666666665
customer_8,Female,0,No,Yes,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,35.25,740.25,No,0,35.25,client_adepte,35.25
customer_9,Female,1,Yes,Yes,52,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,One year,43.86,88.86,4620.72,No,3,88.86,client_confirme,22.215
customer_10,Female,1,Yes,Yes,1,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,136.31,191.31,191.31,No,3,191.31,client_novice,47.8275
customer_11,Male,0,No,Yes,29,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,No,One year,20.78,78.35,2272.15,No,1,78.35000000000001,client_confirme,39.175
customer_12,Female,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,46.32,1713.84,No,0,46.32,client_confirme,46.32
customer_13,Male,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,20.0,No,0,20.0,client_novice,20.0
customer_14,Male,1,No,No,63,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,107.06,177.06,11154.78,No,5,177.06,client_confirme,29.51
customer_15,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,77.14,141.61,8354.99,No,2,141.60999999999999,client_confirme,47.20333333333334
customer_16,Female,0,No,No,20,Yes,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,54.55,98.02,1960.4,No,0,98.02000000000001,client_adepte,98.02
customer_17,Male,0,No,No,32,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,31.14,113.63,3636.16,Yes,3,113.63,client_confirme,28.4075
customer_18,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,90.32,165.62,9440.34,No,3,165.62,client_confirme,41.405
customer_19,Female,1,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,119.84,180.84,3797.64,No,3,180.84,client_adepte,45.21
customer_20,Male,0,Yes,Yes,48,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,43.16,115.55,5546.4,No,3,115.55,client_confirme,28.8875
customer_21,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,134.32,174.51,10121.58,No,1,174.51,client_confirme,87.255
customer_22,Male,0,Yes,No,41,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Two year,48.14,117.82,4830.62,No,2,117.82,client_confirme,39.27333333333333
customer_23,Male,1,Yes,Yes,59,No,Yes,DSL,No internet service,No internet service,Yes,No,No,No internet service,One year,28.43,58.43,3447.37,No,1,58.43,client_confirme,29.215
customer_24,Female,1,No,Yes,14,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,138.38,213.2,2984.8,No,3,213.20000000000002,client_adepte,53.3
