Model,Accuracy,Precision Yes,Precision No,Precision Weighted,Recall Yes,Recall No,Recall Weighted,F1 Yes,F1 No,F1 Weighted,Time
lr_naive,0.8570752484619025,0.6666666666666666,0.8576174655908875,0.830145131055647,0.013157894736842105,0.9988944168048646,0.8570752484619025,0.025806451612903226,0.9228804902962207,0.7938173063114934,0.032843589782714844
lr_balanced_naive,0.6180785612872692,0.21322690992018245,0.9053398058252428,0.8057646423822052,0.6151315789473685,0.6185737976782753,0.6180785612872692,0.31668077900084673,0.734975369458128,0.674794794210133,0.03140616416931152
rfc_naive,0.852342640795078,0.40476190476190477,0.8614196040560116,0.7957196795006835,0.05592105263157895,0.986180210060807,0.852342640795078,0.09826589595375723,0.9195876288659793,0.8014230255506384,0.38561344146728516
rfc_balanced_naive,0.8495030761949834,0.3055555555555556,0.8589311506981223,0.7793162993382831,0.03618421052631579,0.986180210060807,0.8495030761949834,0.06470588235294118,0.9181677817807514,0.795379131792084,0.376969575881958
gbc_naive,0.8547089446284903,0.44,0.8596743295019157,0.7992952494410628,0.03618421052631579,0.992260917634052,0.8547089446284903,0.0668693009118541,0.9212214523992815,0.7983047207134424,0.6972067356109619
lr_feat_eng,0.8584950307619499,0.631578947368421,0.8605539637058262,0.8276110366038049,0.039473684210526314,0.996130458817026,0.8584950307619499,0.07430340557275542,0.9233922623622854,0.8012327675851831,0.03314709663391113
lr_balanced_feat_eng,0.6204448651206815,0.2151029748283753,0.9063761097659403,0.806921763802372,0.618421052631579,0.6207849640685461,0.6204448651206815,0.31918505942275044,0.7368766404199475,0.6767828209106489,0.034604549407958984
rfc_feat_eng,0.8518693800283956,0.3902439024390244,0.861003861003861,0.7932750264540691,0.05263157894736842,0.986180210060807,0.8518693800283956,0.0927536231884058,0.9193506828137078,0.800427111528288,0.3912067413330078
rfc_balanced_feat_eng,0.853289162328443,0.40625,0.8601633829889476,0.7948582867141534,0.04276315789473684,0.9894969596462134,0.853289162328443,0.07738095238095238,0.9203084832904884,0.7990354263115491,0.3871893882751465
gbc_feat_eng,0.8547089446284903,0.44,0.8596743295019157,0.7992952494410628,0.03618421052631579,0.992260917634052,0.8547089446284903,0.0668693009118541,0.9212214523992815,0.7983047207134424,0.7854769229888916
